source,target
上海万有全豆制品有限公司奉贤分公司,吉祥时素兰,31.0
海亮明康汇物流有限公司,海亮教育园（初中部）,115.0
江苏太仓市食品有限公司,上海红林农副产品市场经营管理有限公司,43.0
上海好胜贸易有限公司,上海龙辉餐饮管理有限公司周浦万达店,31.0
上海江扬北市场,上海逸骅集贸市场经营管理服务部,100.0
上海冯达豆类食品有限公司,越幸农贸市场,26.0
上海市宝山区百姓食品经营部,上海市静安区洪娘饭店,31.0
华润五丰米业(中国)有限公司,上海新欧尚超市有限公司蒙山北路店,44.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司林湖店,1.0
上海敬亭蔬菜专业合作社,内蒙古小肥羊餐饮连锁有限公司上海东方路餐厅,104.0
